l_ear,l_forehead,r_forehead,r_ear,ch5,ch6
821.5750915750916,815.1282051282052,845.3479853479854,893.2967032967033,nan,nan
828.4249084249085,814.7252747252747,845.7509157509157,896.5201465201466,nan,nan
836.886446886447,813.919413919414,849.3772893772895,905.7875457875458,nan,nan
834.8717948717949,810.6959706959707,848.974358974359,903.7728937728938,nan,nan
834.0659340659341,812.3076923076924,843.7362637362637,901.7582417582418,nan,nan
834.0659340659341,813.919413919414,844.1391941391942,904.1758241758242,nan,nan
834.0659340659341,812.3076923076924,847.3626373626374,903.7728937728938,nan,nan
838.901098901099,813.5164835164835,850.1831501831502,900.1465201465202,nan,nan
843.7362637362637,813.919413919414,850.5860805860806,891.6849816849817,nan,nan
841.7216117216118,814.3223443223443,846.5567765567765,896.5201465201466,nan,nan
838.901098901099,814.7252747252747,846.5567765567765,898.9377289377289,nan,nan
841.3186813186813,810.6959706959707,846.1538461538462,890.0732600732601,nan,nan
847.3626373626374,811.9047619047619,845.3479853479854,887.2527472527473,nan,nan
846.5567765567765,816.7399267399268,844.1391941391942,891.2820512820513,nan,nan
846.1538461538462,819.5604395604396,844.5421245421246,884.8351648351648,nan,nan
850.989010989011,820.7692307692308,843.3333333333334,879.5970695970697,nan,nan
854.6153846153846,821.978021978022,841.3186813186813,884.0293040293041,nan,nan
849.7802197802198,818.7545787545788,841.7216117216118,883.6263736263736,nan,nan
840.9157509157509,813.5164835164835,842.5274725274726,886.8498168498169,nan,nan
844.1391941391942,812.7106227106227,841.7216117216118,885.2380952380953,nan,nan
846.1538461538462,812.7106227106227,841.7216117216118,886.8498168498169,nan,nan
850.989010989011,811.5018315018315,844.1391941391942,888.4615384615385,nan,nan
855.4212454212454,813.5164835164835,844.945054945055,882.8205128205128,nan,nan
845.3479853479854,816.7399267399268,848.1684981684982,884.0293040293041,nan,nan
846.959706959707,816.3369963369963,849.3772893772895,883.2234432234433,nan,nan
853.4065934065934,813.919413919414,844.945054945055,887.2527472527473,nan,nan
855.0183150183151,812.7106227106227,844.1391941391942,879.5970695970697,nan,nan
856.2271062271062,813.919413919414,846.1538461538462,867.9120879120879,nan,nan
855.0183150183151,815.934065934066,844.5421245421246,871.1355311355312,nan,nan
853.0036630036631,813.919413919414,843.7362637362637,870.7326007326008,nan,nan
851.7948717948718,811.0989010989011,842.9304029304029,863.4798534798535,nan,nan
852.6007326007326,811.9047619047619,842.1245421245421,863.8827838827839,nan,nan
852.1978021978023,812.3076923076924,841.7216117216118,866.3003663003664,nan,nan
854.2124542124542,814.7252747252747,841.7216117216118,862.6739926739926,nan,nan
853.0036630036631,816.3369963369963,841.3186813186813,871.941391941392,nan,nan
860.6593406593407,813.919413919414,842.9304029304029,880.0,nan,nan
868.7179487179487,813.919413919414,842.1245421245421,866.3003663003664,nan,nan
856.2271062271062,815.934065934066,838.0952380952381,863.0769230769231,nan,nan
849.7802197802198,815.5311355311355,841.3186813186813,872.3443223443223,nan,nan
849.3772893772895,813.919413919414,843.3333333333334,874.7619047619048,nan,nan
852.1978021978023,814.7252747252747,840.5128205128206,878.7912087912089,nan,nan
857.4358974358975,815.5311355311355,841.3186813186813,880.0,nan,nan
857.4358974358975,815.934065934066,840.5128205128206,875.5677655677656,nan,nan
860.6593406593407,815.5311355311355,841.3186813186813,880.4029304029305,nan,nan
863.0769230769231,815.5311355311355,844.5421245421246,884.0293040293041,nan,nan
867.1062271062272,817.948717948718,840.9157509157509,886.8498168498169,nan,nan
865.0915750915751,817.948717948718,839.3040293040293,887.2527472527473,nan,nan
859.047619047619,815.1282051282052,839.7069597069598,878.3882783882784,nan,nan
866.3003663003664,813.1135531135532,836.886446886447,874.3589743589744,nan,nan
860.2564102564103,815.5311355311355,833.6630036630037,874.7619047619048,nan,nan
848.974358974359,814.7252747252747,836.0805860805862,872.3443223443223,nan,nan
852.6007326007326,810.2930402930403,839.7069597069598,883.6263736263736,nan,nan
857.4358974358975,812.7106227106227,839.7069597069598,880.0,nan,nan
855.8241758241759,815.5311355311355,836.4835164835165,870.7326007326008,nan,nan
857.032967032967,813.919413919414,834.0659340659341,873.956043956044,nan,nan
853.4065934065934,813.1135531135532,838.4981684981685,868.7179487179487,nan,nan
850.1831501831502,812.7106227106227,839.3040293040293,865.0915750915751,nan,nan
846.959706959707,812.3076923076924,837.2893772893773,860.2564102564103,nan,nan
854.2124542124542,814.3223443223443,836.0805860805862,858.6446886446887,nan,nan
859.4505494505495,814.3223443223443,836.0805860805862,858.2417582417582,nan,nan
851.7948717948718,812.3076923076924,836.886446886447,853.0036630036631,nan,nan
867.5091575091575,815.1282051282052,833.2600732600733,846.959706959707,nan,nan
868.3150183150184,818.3516483516484,828.4249084249085,848.5714285714286,nan,nan
848.5714285714286,820.3663003663004,830.0366300366301,852.6007326007326,nan,nan
850.1831501831502,823.5897435897436,828.8278388278388,854.2124542124542,nan,nan
858.2417582417582,822.7838827838829,827.2161172161173,858.2417582417582,nan,nan
855.8241758241759,819.96336996337,827.2161172161173,859.4505494505495,nan,nan
850.1831501831502,819.5604395604396,826.4102564102565,852.1978021978023,nan,nan
853.0036630036631,817.1428571428571,826.007326007326,854.6153846153846,nan,nan
861.0622710622711,815.934065934066,825.6043956043957,848.5714285714286,nan,nan
853.8095238095239,815.934065934066,826.4102564102565,840.5128205128206,nan,nan
854.2124542124542,814.3223443223443,823.992673992674,837.6923076923077,nan,nan
857.8388278388279,816.7399267399268,822.3809523809524,835.2747252747253,nan,nan
848.5714285714286,815.5311355311355,824.7985347985348,840.9157509157509,nan,nan
855.0183150183151,812.3076923076924,823.992673992674,836.4835164835165,nan,nan
846.5567765567765,812.7106227106227,825.6043956043957,836.0805860805862,nan,nan
840.1098901098901,812.7106227106227,827.2161172161173,839.3040293040293,nan,nan
